id,meaning_en,meaning_ja,word_class,english_word_id,parent_id
357,"The action of making a movie, recording, or other product available for general viewing or purchase.",映画、レコーディング、またはその他の製品を一般的な視聴または購入を可能にするアクション。,noun,131,NULL
358,"The action of releasing property, money, or a right to another.",財産、お金、または権利を他者に解放する行為。,noun,131,NULL
359,"A country, state, or territory ruled by a king or queen.",王または女王が統治する国、州、または領土。,noun,132,NULL
360,The spiritual reign or authority of God.,神の霊的支配または権威。,noun,132,NULL
361,"Each of the three traditional divisions (animal, vegetable, and mineral) in which natural objects have conventionally been classified.",自然のオブジェクトが従来分類されてきた3つの伝統的な区分（動物、野菜、鉱物）のそれぞれ。,noun,132,NULL
362,The fact or state of living or having objective reality.,生きているまたは客観的な現実を持っているという事実または状態。,noun,133,NULL
363,In the same manner or to the same extent.,同じ方法で、または同じ程度に。,adverb,134,NULL
364,Of most recent date.,最近の日付の。,adjective,135,NULL
365,The most recent news or fashion.,最新のニュースやファッション。,noun,135,NULL
366,A feeling of reassurance and relaxation following release from anxiety or distress.,不安や苦痛から解放された後の安心感とリラックス感。,noun,136,NULL
367,"Assistance, especially in the form of food, clothing, or money, given to those in special need or difficulty.",援助、特に食べ物、衣類、またはお金の形で、特別な必要性または困難のある人に与えられる支援。,noun,136,NULL
368,A person or group of people replacing others who have been on duty.,勤務していた他の人を置き換える人または人々のグループ。,noun,136,NULL
369,The state of being clearly visible or obvious due to being accentuated in some way.,何らかの方法で強調されているためにはっきりと見える、または明白である状態。,noun,136,NULL
370,Having many details or facts; showing attention to detail.,多くの詳細または事実がある;細部へのこだわり。,adjective,137,NULL
371,A sum of money saved or made available for a particular purpose.,特定の目的のために節約または利用可能になった金額の合計。,noun,138,NULL
372,Provide with money for a particular purpose.,特定の目的のためにお金を提供します。,transitive verb,138,NULL
373,"A formal examination of evidence before a judge, and typically before a jury, in order to decide guilt in a case of criminal or civil proceedings.",刑事訴訟または民事訴訟の場合に有罪を決定するために、裁判官の前、通常は陪審の前での証拠の正式な検査。,noun,139,NULL
374,"A test of the performance, qualities, or suitability of someone or something.",誰かまたは何かのパフォーマンス、品質、または適合性のテスト。,noun,139,NULL
375,"A person, thing, or situation that tests a person's endurance or forbearance.",人の持久力または忍耐力をテストする人、物、または状況。,noun,139,NULL
376,The action of sharing something out among a number of recipients.,多くの受信者間で何かを共有するアクション。,noun,140,NULL
377,"A circumstance, fact, or influence that contributes to a result or outcome.",結果または結果に寄与する状況、事実、または影響。,noun,141,NULL
378,A number or quantity that when multiplied with another produces a given number or expression.,別の数または数と乗算すると、特定の数または式を生成する数または量。,noun,141,NULL
379,"Any of a number of substances in the blood, mostly identified by numerals, which are involved in coagulation.",血液に含まれる多くの物質のいずれか。ほとんどが数字で識別され、凝固に関与します。,noun,141,NULL
380,A business agent; a merchant buying and selling on commission.,ビジネスエージェント;手数料で売買する商人。,noun,141,NULL
381,Organize (the source code of a piece of software) into different components that are easier to maintain and work with.,保守や操作が簡単なさまざまなコンポーネントに（ソフトウェアのソースコード）を編成します。,transitive verb,141,NULL
382,Sell (one's receivable debts) to a factor.,ファクターに売ります（自分の売掛債権）。,transitive verb,141,NULL
383,A distinctive attribute or aspect of something.,何かの独特の属性または側面。,noun,142,NULL
384,"A newspaper or magazine article or a broadcast program devoted to the treatment of a particular topic, typically at length.",特定のトピックの扱いに特化した新聞や雑誌の記事、または放送番組。,noun,142,NULL
385,Have as a prominent attribute or aspect.,卓越した属性または側面として持っています。,transitive verb,142,NULL
386,Make a prominent exhibition of (something) in a place where it can be easily seen.,見やすい場所で（何か）の目立つ展示をする。,transitive verb,143,NULL
387,"A performance, show, or event intended for public entertainment.",パブリックエンターテイメントを目的としたパフォーマンス、ショー、またはイベント。,noun,143,NULL
388,An electronic device for the visual presentation of data.,データを視覚的に表示するための電子デバイス。,noun,143,NULL
389,Lift or move to a higher position or level.,持ち上げるか、より高い位置またはレベルに移動します。,transitive verb,145,NULL
390,"Increase the amount, level, or strength of.",量、レベル、または強さを増やします。,transitive verb,145,NULL
391,Cause to occur or to be considered.,発生または考慮される原因。,transitive verb,145,NULL
392,"Collect, levy, or bring together (money or resources)",収集、徴収、またはまとめる（お金またはリソース）,transitive verb,145,NULL
393,Bring up (a child),育てる（子供）,transitive verb,145,NULL
394,Bring (someone) back from death.,（誰か）を死から呼び戻しなさい。,transitive verb,145,NULL
395,"Abandon or force an enemy to abandon (a siege, blockade, or embargo)",敵を放棄または強制的に放棄させる（包囲、封鎖、または禁輸）,transitive verb,145,NULL
396,Drive (an animal) from its lair.,その隠れ家からドライブ（動物）。,transitive verb,145,NULL
397,(of someone at sea) come in sight of (land or another ship),（海にいる人の）（陸または別の船の）視界に入ってくる,transitive verb,145,NULL
398,"Stimulate production of (an antiserum, antibody, or other biologically active substance) against the appropriate target cell or substance.",適切な標的細胞または標的物質に対する（抗血清、抗体、またはその他の生物活性物質）の産生を刺激します。,transitive verb,145,NULL
399,An increase in salary.,給与の増加。,noun,145,NULL
400,(in poker or brag) an increase in a stake.,（ポーカーまたは自慢）賭け金の増加。,noun,145,NULL
401,An act of lifting or raising a part of the body while holding a weight.,おもりを持って体の一部を持ち上げたり持ち上げたりする行為。,noun,145,NULL
402,Regularly or frequently behave in a particular way or have a certain characteristic.,定期的または頻繁に特定の方法で動作するか、特定の特性を持っています。,verb,146,NULL
403,Care for or look after; give one's attention to.,世話または世話をする;注意を向ける。,transitive verb,146,NULL
404,Used to refer to a thing or things belonging to or associated with the speaker.,スピーカーに属している、またはスピーカーに関連付けられているものを参照するために使用されます。,possessive pronoun,148,NULL
405,(used before a vowel) my.,（母音の前に使用）私。,possessive determiner,148,NULL
406,An excavation in the earth for extracting coal or other minerals.,石炭やその他の鉱物を抽出するための地球の発掘。,noun,148,NULL
407,"A type of bomb placed on or just below the surface of the ground or in the water that detonates when disturbed by a person, vehicle, or ship.",人、乗り物、または船によって乱されたときに爆発する、地表または水面のすぐ下に配置された爆弾の一種。,noun,148,NULL
408,Obtain (coal or other minerals) from a mine.,鉱山から（石炭またはその他の鉱物）を入手します。,transitive verb,148,NULL
409,Lay explosive mines on or just below the surface of (the ground or water),（地面または水）の表面またはそのすぐ下に爆発性の地雷を置きます,transitive verb,148,NULL
410,Try to find something by looking or otherwise seeking carefully and thoroughly.,じっくりと見たり探したりして、何かを見つけてください。,intransitive verb,149,NULL
411,An act of searching for someone or something.,誰かまたは何かを探す行為。,noun,149,NULL
412,"A rough path or minor road, typically one beaten by use rather than constructed.",大まかな道または小道、通常は建設されたのではなく、使用された道。,noun,150,NULL
413,"A mark or line of marks left by a person, animal, or vehicle in passing.",人、動物、または車両が通過する際に残したマークまたはマークの線。,noun,150,NULL
414,A continuous line of rails on a railroad.,鉄道のレールの連続線。,noun,150,NULL
415,A recording of one song or piece of music.,1曲または1曲の録音。,noun,150,NULL
416,"A continuous articulated metal band around the wheels of a heavy vehicle such as a tank or bulldozer, intended to facilitate movement over rough or soft ground.",粗いまたは柔らかい地面での移動を容易にすることを目的とした、タンクやブルドーザーなどの大型車両の車輪の周りの連続した関節式の金属バンド。,noun,150,NULL
417,The transverse distance between a vehicle's wheels.,車両の車輪間の横距離。,noun,150,NULL
418,A group in which schoolchildren of the same age and ability are taught.,同じ年齢と能力の学童が教えられるグループ。,noun,150,NULL
419,"Follow the course or trail of (someone or something), typically in order to find them or note their location at various points.",（誰かまたは何か）のコースまたはトレイルをたどって、通常、それらを見つけたり、さまざまなポイントでの位置を記録したりします。,transitive verb,150,NULL
420,(of wheels) run so that the back ones are exactly in the track of the front ones.,（ホイールの）後ろのものが正確に前のものと同じになるように走ります。,transitive verb,150,NULL
421,"(of a tunable circuit or component) vary in frequency in the same way as another circuit or component, so that the frequency difference between them remains constant.",（調整可能な回路またはコンポーネントの）他の回路またはコンポーネントと同じように周波数が変化するため、それらの間の周波数差は一定に保たれます。,transitive verb,150,NULL
422,Assign (a student) to a course of study according to ability.,能力に応じて（学生）を学習コースに割り当てます。,transitive verb,150,NULL
423,Tow (a boat) along a waterway from the bank.,土手から水路に沿って牽引（ボート）。,verb,150,NULL
424,Having a sharpened or tapered tip or end.,先端または先が尖っている、または先が細い。,adjective,151,NULL
425,(of a remark or look) expressing criticism in a direct and unambiguous way.,（発言または外観の）批判を直接的かつ明確な方法で表現する。,adjective,151,NULL
426,Moving to a location on the surface of.,表面上の場所に移動します。,preposition,152,NULL
427,Moving aboard (a public conveyance) with the intention of traveling in it.,乗車することを意図して（公共交通機関）乗車すること。,preposition,152,NULL
428,"Right or appropriate for a particular person, purpose, or situation.",特定の人、目的、または状況に適切または適切。,adjective,153,NULL
429,A person or organization using the services of a lawyer or other professional person or company.,弁護士またはその他の専門家や企業のサービスを利用する人または組織。,noun,154,NULL
430,(in a network) a desktop computer or workstation that is capable of obtaining information and applications from a server.,（ネットワーク内）サーバーから情報やアプリケーションを取得できるデスクトップコンピューターまたはワークステーション。,noun,154,NULL
431,(in ancient Rome) a plebeian under the protection of a patrician.,（古代ローマでは）貴族の保護下にあるプリベア人。,noun,154,NULL
432,In a state of peaceful happiness.,平和な幸せの状態で。,adjective,155,NULL
433,Satisfy (someone),満足（誰か）,transitive verb,155,NULL
434,A state of satisfaction.,満足の状態。,noun,155,NULL
435,A member of the British House of Lords who votes for a particular motion.,特定の申立てに投票する英国貴族院の議員。,noun,155,NULL
436,The things that are held or included in something.,何かに保持または含まれているもの。,noun,155,NULL
437,Occurring or done at once; instant.,同時に発生するか、一度に完了します。インスタント。,adjective,156,NULL
438,"Nearest in time, relationship, or rank.",最も近い時間、関係、またはランク。,adjective,156,NULL
439,(of knowledge or reaction) gained or shown without reasoning; intuitive.,（知識または反応の）理由なし​​に獲得または示される;直感的。,adjective,156,NULL
440,"A settled way of thinking or feeling about someone or something, typically one that is reflected in a person's behavior.",誰かまたは何か、通常は人の行動に反映されるものについての考え方または感情の落ち着いた方法。,noun,157,NULL
441,Relating to or supporting democracy or its principles.,民主主義またはその原則に関連またはそれを支持すること。,adjective,159,NULL
442,Relating to the Democratic Party.,民主党に関連する。,adjective,159,NULL
443,"A serious disagreement or argument, typically a protracted one.",深刻な意見の相違や議論、通常は長引くもの。,noun,160,NULL
444,Be incompatible or at variance; clash.,互換性がないか、または差異がある。衝突。,intransitive verb,160,NULL
445,Identification of someone or something or person from previous encounters or knowledge.,以前の出会いや知識からの誰かまたは何かまたは人の識別。,noun,164,NULL
446,"Acknowledgment of something's existence, validity, or legality.",何かの存在、有効性、または合法性の確認。,noun,164,NULL
447,The state of being away from a place or person.,場所や人から離れている状態。,noun,165,NULL
448,Completely; absolutely.,完全に;絶対に。,adverb,166,NULL
449,"With no qualification, restriction, or limitation; totally.",資格、制限、制限はありません。完全に。,adverb,167,NULL
450,Independently; not viewed in relation to other things or factors.,独立して;他のものや要因との関連で見られていません。,adverb,167,NULL
451,(of a verb) without a stated object.,（動詞の）指定されたオブジェクトなし。,adverb,167,NULL
452,Expressing adverse or disapproving comments or judgments.,不利または不承認のコメントまたは判断を表明する。,adjective,168,NULL
453,"Expressing or involving an analysis of the merits and faults of a work of literature, music, or art.",文学、音楽、または芸術作品の利点と欠点の分析を表現または関与させること。,adjective,168,NULL
454,(of a situation or problem) having the potential to become disastrous; at a point of crisis.,（状況または問題の）悲惨になる可能性がある;危機的状況にある。,adjective,168,NULL
455,Relating to or denoting a point of transition from one state to another.,ある状態から別の状態への遷移点に関連するか、それを示す。,adjective,168,NULL
456,(of a nuclear reactor or fuel) maintaining a self-sustaining chain reaction.,（原子炉または燃料の）自立した連鎖反応を維持します。,adjective,168,NULL
457,As a necessary result; inevitably.,必要な結果として;必然。,adverb,169,NULL
458,"In, at, or to some other place or other places.",内、他、または他の場所へ。,adverb,170,NULL
459,Some other place.,他の場所。,pronoun,170,NULL
460,The unlawful premeditated killing of one human being by another.,ある人間を別の人間が不法に計画的に殺害すること。,noun,171,NULL
461,Kill (someone) unlawfully and with premeditation.,（誰か）を違法に、そして計画的に殺害する。,transitive verb,171,NULL
462,"A statement of an intention to inflict pain, injury, damage, or other hostile action on someone in retribution for something done or not done.",成し遂げられたことまたは成し遂げられなかったことに対する報復として、誰かに痛み、けが、損傷、またはその他の敵対的な行動を及ぼす意図の表明,noun,173,NULL
463,A person or thing likely to cause damage or danger.,被害や危険を及ぼすおそれのある人または物。,noun,173,NULL
464,Satisfying one's conception of what is perfect; most suitable.,何が完璧かという概念を満足させる。ぴったりの。,adjective,174,NULL
465,Existing only in the imagination; desirable or perfect but not likely to become a reality.,想像の中でのみ存在します。理想的または完璧ですが、現実になる可能性は低いです。,adjective,174,NULL
466,A person or thing regarded as perfect.,完璧と見なされる人または物。,noun,174,NULL
467,Correctly or satisfactorily.,正しくまたは十分に。,adverb,176,NULL
468,In the strict sense; exactly.,厳密な意味で;丁度。,adverb,176,NULL
469,Thoroughly; completely.,徹底的に;完全に。,adverb,176,NULL
470,"A part or aspect of something abstract, especially one that is essential or characteristic.",抽象的、特に本質的または特徴的なものの一部または側面。,noun,177,NULL
471,"Behavior involving physical force intended to hurt, damage, or kill someone or something.",誰かまたは何かを傷つけたり、損傷したり、殺したりすることを目的とした物理的な力を伴う行動。,noun,178,NULL
472,Talk about (something) with another person or group of people.,（何か）について別の人またはグループと話します。,transitive verb,179,NULL
473,Of or concerning history; concerning past events.,歴史の、またはそれに関する;過去の出来事について。,adjective,180,NULL
474,A small room in which a prisoner is locked up or in which a monk or nun sleeps.,囚人が閉じ込められるか、僧侶や修道女が眠る小さな部屋。,noun,181,NULL
475,"The smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane. Microscopic organisms typically consist of a single cell, which is either eukaryotic or prokaryotic.",生物の最小の構造および機能単位。通常は顕微鏡で、細胞質と膜に囲まれた核で構成されます。顕微鏡的生物は、通常、真核生物または原核生物のいずれかの単一の細胞から構成されます。,noun,181,NULL
476,"A small group forming a nucleus of political activity, typically a secret, subversive one.",政治活動の核を形成する小さなグループ、通常は秘密の破壊的なグループ。,noun,181,NULL
477,"A device containing electrodes immersed in an electrolyte, used for current-generation or electrolysis.",電流生成または電解に使用される、電解質に浸された電極を含むデバイス。,noun,181,NULL
478,The local area covered by one of the short-range transmitters in a cellular telephone system.,携帯電話システムの短距離送信機の1つがカバーするローカルエリア。,noun,181,NULL
479,With little or no space or time in between.,間にスペースや時間がほとんどないか、まったくありません。,adverb,182,NULL
480,In a way that involves a strong resemblance or connection.,強い類似性またはつながりを伴う方法で。,adverb,182,NULL
481,In a careful and attentive way.,注意深く注意深い方法で。,adverb,182,NULL
482,An action performed or a feeling experienced in response to a situation or event.,状況またはイベントに反応して実行されたアクションまたは経験された感覚。,noun,183,NULL
483,"A picture or diagram made with a pencil, pen, or crayon rather than paint.",ペイントするのではなく、鉛筆、ペン、またはクレヨンで描いた絵または図。,noun,184,NULL
484,An instance of selecting the winner or winners in a lottery or raffle.,宝くじや抽選で当選者を選択する例。,noun,184,NULL
485,Cause or enable (a condition or state of affairs) to continue.,原因または有効化（状態または状況）を続行します。,transitive verb,185,NULL
486,Provide with necessities for life or existence.,生活や存在に必要なものを提供します。,transitive verb,185,NULL
487,State something strongly to be the case; assert.,事実であることを強く表明してください。主張する。,transitive verb,185,NULL
488,"A public display of works of art or items of interest, held in an art gallery or museum or at a trade fair.",アートギャラリーや美術館、または見本市で開催される芸術作品や興味のあるアイテムの公開展示。,noun,186,NULL
489,A display or demonstration of a particular skill.,特定のスキルの表示またはデモンストレーション。,noun,186,NULL
490,"(in sports) a game whose outcome does not affect a team's standing, typically one played before the start of a regular season.",（スポーツ）結果がチームの順位に影響を与えないゲーム。通常、レギュラーシーズンの開始前にプレイされます。,noun,186,NULL
491,"A scholarship awarded to a student at a school or college, usually after a competitive examination.",学校または大学の学生に授与される奨学金。通常、競争試験の結果。,noun,186,NULL
492,"In, relating to, or characteristic of a town or city.",町や都市に関連する、またはその特徴。,adjective,188,NULL
493,Denoting or relating to popular dance music associated with black performers.,黒人のパフォーマーに関連するポピュラーなダンスミュージックを示す、またはこれに関連している。,adjective,188,NULL
494,A strong feeling of wanting to have something or wishing for something to happen.,何かを持ちたい、何かが起こりたいという強い気持ち。,noun,191,NULL
495,Strongly wish for or want (something),強く望んでいるか、または望んでいる（何か）,transitive verb,191,NULL
496,"An extensive area of land in the country, usually with a large house, owned by one person, family, or organization.",国の広大な土地で、通常は1人の個人、家族、または組織が所有する大きな家があります。,noun,192,NULL
497,"All the money and property owned by a particular person, especially at death.",特に死亡時に特定の人が所有するすべてのお金と財産。,noun,192,NULL
498,Perform duties or services for (another person or an organization),（他の人または組織）の職務またはサービスを実行する,transitive verb,193,NULL
499,Present (food or drink) to someone.,誰かにプレゼント（食べ物や飲み物）します。,transitive verb,193,NULL
500,Deliver (a document such as a summons or writ) in a formal manner to the person to whom it is addressed.,（召喚状や令状などの文書）を、それが宛てられた人に正式な方法で届ける。,transitive verb,193,NULL
501,Be of use in achieving or satisfying.,達成または満足することに役立つ。,transitive verb,193,NULL
502,(in tennis and other racket sports) hit the ball or shuttlecock to begin play.,（テニスや他のラケットスポーツで）ボールまたはシャトルコックを打って、プレーを開始します。,transitive verb,193,NULL
503,Bind (a rope) with thin cord to protect or strengthen it.,それを保護または強化するために、細いコードで（ロープを）束ねます。,transitive verb,193,NULL
504,Operate (a gun),作動する（銃）,transitive verb,193,NULL
505,(in tennis and other racket sports) an act or turn of hitting the ball or shuttlecock to start play.,（テニスやその他のラケットスポーツで）プレーを開始するためにボールまたはシャトルコックを打つ行為または順番。,noun,193,NULL
506,A gift or payment to a common fund or collection.,共通の資金またはコレクションへの贈り物または支払い。,noun,194,NULL
507,"A system of words, letters, figures, or other symbols substituted for other words, letters, etc., especially for the purposes of secrecy.",特に秘密保持のために、単語、文字、図、または他の単語、文字などの代わりに使用される他の記号のシステム。,noun,195,NULL
508,Program instructions.,プログラムの説明。,noun,195,NULL
509,A systematic collection of laws or regulations.,法律または規制の体系的なコレクション。,noun,195,NULL
510,Convert (the words of a message) into a particular code in order to convey a secret meaning.,秘密の意味を伝えるために（メッセージの単語）を特定のコードに変換します。,transitive verb,195,NULL
511,Write code for (a computer program),（コンピュータプログラム）のコードを書く,transitive verb,195,NULL
512,Specify the genetic sequence for (an amino acid or protein),（アミノ酸またはタンパク質）の遺伝子配列を指定します,transitive verb,195,NULL
513,Of short duration.,期間が短い。,adjective,196,NULL
514,A concise statement or summary.,簡潔なステートメントまたは要約。,noun,196,NULL
515,"Instruct or inform (someone) thoroughly, especially in preparation for a task.",特にタスクの準備として、（誰かに）指示または完全に通知します。,transitive verb,196,NULL
516,Clearly visible or understood; obvious.,はっきりと見えるか理解されている。明らか。,adjective,197,NULL
517,"Set up (an organization, system, or set of rules) on a firm or permanent basis.",会社または恒久的な方法で（組織、システム、または一連のルール）を設定します。,transitive verb,198,NULL
518,Achieve permanent acceptance or recognition for.,永続的な受け入れまたは認識を実現します。,transitive verb,198,NULL
519,Show (something) to be true or certain by determining the facts.,事実を判断することにより、（何か）が真実または確実であることを示します。,transitive verb,198,NULL
520,Ensure that one's remaining cards in (a suit) will be winners (if not trumped) by playing off the high cards in that suit.,（スーツ）の残りのカードが（トランプされていない場合は）勝者になることを確認します。,transitive verb,198,NULL
521,"Written works, especially those considered of superior or lasting artistic merit.",書面による作品、特に優れた芸術的価値または永続的な芸術的価値がある作品。,noun,199,NULL
522,Complete trust or confidence in someone or something.,誰かまたは何かへの完全な信頼または信頼。,noun,200,NULL
523,"Strong belief in God or in the doctrines of a religion, based on spiritual apprehension rather than proof.",証拠ではなく精神的な不安に基づく、神または宗教の教義に対する強い信念。,noun,200,NULL
524,In general and with the exception of minor details.,一般的に、細かい部分を除いて。,adverb,201,NULL
525,Widely and openly.,広く公然と。,adverb,201,NULL
526,"Give support, confidence, or hope to (someone)",（誰か）にサポート、自信、または希望を与える,transitive verb,202,NULL
527,"A combustible black or dark brown rock consisting mainly of carbonized plant matter, found mainly in underground deposits and widely used as fuel.",主に地下の堆積物に含まれ、燃料として広く使用されている、炭化した植物物質から主に構成される可燃性の黒または暗褐色の岩。,noun,204,NULL
528,Provide with a supply of coal.,石炭の供給を提供します。,transitive verb,204,NULL
529,An acceptance that a statement is true or that something exists.,ステートメントが真実である、または何かが存在することの受け入れ。,noun,205,NULL
530,"Trust, faith, or confidence in someone or something.",誰かまたは何かへの信頼、信仰、または自信。,noun,205,NULL
531,A number of people or things in a more or less straight line.,多かれ少なかれ直線的な数の人や物。,noun,206,NULL
532,Propel (a boat) with oars.,オール付きのPropel（ボート）。,transitive verb,206,NULL
533,A period of rowing.,ローイングの期間。,noun,206,NULL
534,A noisy acrimonious quarrel.,騒々しく騒々しい喧嘩。,noun,206,NULL
535,Have a quarrel.,けんかをする。,intransitive verb,206,NULL
536,(of a thing) pleasing or appealing to the senses.,（ものの）感覚に心地よいか魅力的です。,adjective,207,NULL
537,Keep safe from harm or injury.,危害やけがから安全に保管してください。,transitive verb,208,NULL
538,"A spoken or written representation or account of a person, object, or event.",人、物、または出来事の口頭または書面による表現または説明。,noun,209,NULL
539,"A sort, kind, or class of people or things.",人または物の種類、種類、またはクラス。,noun,209,NULL
540,Absolutely necessary or important; essential.,絶対に必要または重要。必須。,adjective,210,NULL
541,Full of energy; lively.,元気いっぱいにぎやか。,adjective,210,NULL
542,Fatal.,致命的。,adjective,210,NULL
543,"The body's important internal organs, especially the gut or the genitalia.",体の重要な内臓、特に腸または生殖器。,noun,210,NULL
544,"The transmission of customs or beliefs from generation to generation, or the fact of being passed on in this way.",世代から世代への習慣や信念の伝達、またはこの方法で受け継がれているという事実。,noun,211,NULL
545,A doctrine believed to have divine authority though not in the scriptures.,聖典にはないが、神の権威を持っていると信じられている教義。,noun,211,NULL
546,A person who has committed a crime.,犯罪を犯した人。,noun,212,NULL
547,Relating to crime.,犯罪に関連する。,adjective,212,NULL
548,Move forward in a purposeful way.,意図的な方法で前進します。,verb,214,NULL
549,Make or cause to make progress.,進歩を遂げるか、または起こしてください。,verb,214,NULL
550,Put forward (a theory or suggestion),提唱する（理論または提案）,verb,214,NULL
551,Lend (money) to (someone),（誰か）に（お金）を貸す,verb,214,NULL
552,A forward movement.,前進運動。,noun,214,NULL
553,A development or improvement.,開発または改善。,noun,214,NULL
554,An amount of money paid before it is due or for work only partly completed.,期日までに支払われる金額、または部分的にのみ完了した作業の金額。,noun,214,NULL
555,"An approach made to someone, typically with the aim of initiating a sexual encounter.",通常、性的な出会いを開始することを目的とした、誰かへのアプローチ。,noun,214,NULL
556,"Done, sent, or supplied beforehand.",事前に完了、送信、または提供。,adjective,214,NULL
557,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind.",アルカリを中和し、一部の金属を溶解し、リトマスを赤くする化学物質。通常、この種の腐食性または酸味のある液体。,noun,216,NULL
558,A molecule or other entity that can donate a proton or accept an electron pair in reactions.,反応においてプロトンを供与したり、電子対を受け入れることができる分子または他のエンティティ。,noun,216,NULL
559,The drug LSD.,薬物LSD。,noun,216,NULL
560,Containing acid or having the properties of an acid; having a pH of less than 7.,酸を含む、または酸の性質を有する; pHが7未満である。,adjective,216,NULL
561,Sharp-tasting or sour.,鋭い味わいまたは酸味。,adjective,216,NULL
562,"(of rock, especially lava) containing a relatively high proportion of silica.",（岩、特に溶岩の）比較的高い割合のシリカを含みます。,adjective,216,NULL
563,Have an effect on; make a difference to.,影響を与えます;違いを生む。,transitive verb,217,NULL
564,Pretend to have or feel (something),持っているまたは感じているふり（何か）,transitive verb,217,NULL
565,"Emotion or desire, especially as influencing behavior or action.",感情や欲望、特に行動や行動に影響を与えるもの。,noun,217,NULL
566,"Lesser in importance, seriousness, or significance.",重要性、深刻さ、または重要性が低い。,adjective,218,NULL
567,"(of a scale) having intervals of a semitone between the second and third degrees, and (usually) the fifth and sixth, and the seventh and eighth.",（目盛りの）2度と3度の間、および（通常）5度と6度、7度と8度の間に半音の間隔があります。,adjective,218,NULL
568,(of a term) occurring as the subject of the conclusion of a categorical syllogism.,（用語の）断定三段論法の結論の主題として発生します。,adjective,218,NULL
569,A person under the age of full legal responsibility.,完全な法的責任の年齢未満の人。,noun,218,NULL
570,"A minor key, interval, or scale.",マイナーキー、間隔、またはスケール。,noun,218,NULL
571,"The minor leagues in a particular professional sport, especially baseball.",特定のプロスポーツ、特に野球のマイナーリーグ。,noun,218,NULL
572,A college student's subsidiary subject or area of concentration.,大学生の補助科目または集中領域。,noun,218,NULL
573,A minor term or premise.,マイナーな用語または前提。,noun,218,NULL
574,Study or qualify in as a subsidiary subject at college or university.,カレッジまたは大学で補助科目として勉強または資格を取得します。,intransitive verb,218,NULL
575,Walk or run with leaping strides.,歩いたり、飛び跳ねて走ったり。,verb,220,NULL
576,A leaping movement upward.,上への跳躍運動。,noun,220,NULL
577,A territorial limit; a boundary.,領土制限;境界。,noun,220,NULL
578,Form the boundary of; enclose.,の境界を形成する;囲みます。,transitive verb,220,NULL
579,Going or ready to go toward a specified place.,特定の場所に向かって行く、または行く準備ができている。,adjective,220,NULL
580,Certain to do or have something.,何かをするか持っていることは確かです。,adjective,220,NULL
581,Restricted or confined to a specified place.,特定の場所に制限または制限されている。,adjective,220,NULL
582,(of a book) having a specified binding.,（本の）指定されたバインディングを持っています。,adjective,220,NULL
583,"(of a morpheme) unable to occur alone, e.g., dis- in dismount.",（形態素の）単独で発生することができない、例えば、降車する。,adjective,220,NULL
584,Constipated.,便秘。,adjective,220,NULL
585,"A society or organization founded for a religious, educational, social, or similar purpose.",宗教的、教育的、社会的、または同様の目的で設立された社会または組織。,noun,221,NULL
586,"An established law, practice, or custom.",確立された法律、慣行、または慣習。,noun,221,NULL
587,The action of instituting something.,何かを制定する行為。,noun,221,NULL
588,First in order of importance; main.,最初に重要な順に。メイン。,adjective,222,NULL
589,(of money) denoting an original sum invested or lent.,（お金の）投資または貸与された元の金額を示す。,adjective,222,NULL
590,"The person with the highest authority or most important position in an organization, institution, or group.",組織、機関、またはグループで最高の権限または最も重要な地位を持つ人。,noun,222,NULL
591,"A sum of money lent or invested, on which interest is paid.",貸与または投資された金額で、利息が支払われます。,noun,222,NULL
592,A person for whom another acts as an agent or representative.,他の人が代理人または代理人として行動する人。,noun,222,NULL
593,The person directly responsible for a crime.,犯罪の直接の責任者。,noun,222,NULL
594,A main rafter supporting purlins.,母屋を支える主な垂木。,noun,222,NULL
595,An organ stop sounding a main register of open flue pipes typically an octave above the diapason.,オルガンは、通常、ダイアパソンの1オクターブ上にある開いた煙道パイプの主なレジスタの音を停止します。,noun,222,NULL
596,"Having the ability, fitness, or quality necessary to do or achieve a specified thing.",特定のことを実行または達成するために必要な能力、フィットネス、または品質を持っている。,adjective,223,NULL
597,Able to achieve efficiently whatever one has to do; competent.,人がしなければならないことを効率的に達成できる;有能。,adjective,223,NULL
598,Pressure or tension exerted on a material object.,物体にかかる圧力または張力。,noun,224,NULL
599,A state of mental or emotional strain or tension resulting from adverse or very demanding circumstances.,悪条件または非常に厳しい状況から生じる精神的または感情的な緊張または緊張の状態。,noun,224,NULL
600,Physiological disturbance or damage caused to an organism by adverse circumstances.,有害な状況によって生物に引き起こされる生理学的障害または損傷。,noun,224,NULL
601,Particular emphasis or importance.,特に強調または重要。,noun,224,NULL
602,"Give particular emphasis or importance to (a point, statement, or idea) made in speech or writing.",スピーチまたはライティングで行われた（ポイント、ステートメント、またはアイデア）を特に強調または重要にします。,verb,224,NULL
603,Subject to pressure or tension.,圧力または緊張の影響を受けます。,verb,224,NULL
604,Cause mental or emotional strain or tension in.,精神的または感情的な緊張や緊張を引き起こします。,verb,224,NULL
